Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Ford,Ford B-MAX 1.0 EcoBoost Titanium EU6,22900,PLN,Benzyna,140000,2015,Manualna,1.0
Fiat,Fiat Panda 1.0 GSE Hybrid GARMIN,49700,PLN,Benzyna,20000,2023,Manualna,1.0
Citroën,Citroën C3 Pure Tech 83 S&S SHINE PACK,41999,PLN,Benzyna,50000,2023,Manualna,NULL
Renault,Renault Megane ENERGY TCe 115 Start & Stop Bose Edition,20999,PLN,Benzyna,121000,2013,Manualna,NULL
Peugeot,Peugeot 308 1.5 BlueHDi Active Pack S&S,52999,PLN,Diesel,147000,2022,Manualna,1.5
Opel,Opel Mokka,32999,PLN,Diesel,220000,2018,Manualna,NULL
Renault,Renault Scenic,46999,PLN,Diesel,198000,2021,Automatyczna,NULL
Skoda,Skoda Fabia 1.0 MPI Active,33999,PLN,Benzyna,69000,2019,Manualna,1.0
Opel,Opel Grandland X 1.2 Start/Stop Business INNOVATION,61999,PLN,Benzyna,130000,2022,Manualna,1.2
Hyundai,Hyundai ix35 1.7 CRDi Premium 2WD,33999,PLN,Diesel,194000,2015,Manualna,1.7
Renault,Renault Megane 1.4 16V TCE Bose Edition,19999,PLN,Benzyna,199000,2013,Manualna,1.4
Suzuki,Suzuki Ignis 1.3 Comfort,9999,PLN,Benzyna,154000,2005,Manualna,1.3
Renault,Renault Megane ENERGY dCi 130 BOSE EDITION,34999,PLN,Diesel,188000,2017,Manualna,NULL
Renault,Renault Scenic ENERGY dCi 110 EDC LIMITED,41999,PLN,Diesel,198000,2018,Automatyczna,NULL
Renault,Renault Megane 1.2 16V TCe Limited EDC EU6,25999,PLN,Benzyna,123000,2015,Automatyczna,1.2
Ford,Ford B-MAX 1.0 EcoBoost Trend,16999,PLN,Benzyna,165000,2014,Manualna,1.0
Peugeot,Peugeot 3008 225 e-EAT8 GT Pack,77600,PLN,Hybryda Plug-in,164000,2021,Automatyczna,NULL
Ford,Ford B-MAX,22900,PLN,Benzyna,161702,2015,Manualna,NULL
Renault,Renault Kadjar 1.5 dCi Energy Limited,40999,PLN,Diesel,136000,2016,Manualna,1.5
BMW,BMW Seria 4 418d Luxury Line,55999,PLN,Diesel,198000,2017,Automatyczna,NULL
Renault,Renault Arkana E-TECH 145 R.S.LINE,87999,PLN,Hybryda,25000,2023,Automatyczna,NULL
DS Automobiles,DS Automobiles DS 3 Crossback 1.2 PureTech Bastille,41999,PLN,Benzyna,121000,2019,Manualna,1.2
DS Automobiles,DS Automobiles DS 7 Crossback 1.6 PureTech Rivoli,77999,PLN,Benzyna,146000,2021,Automatyczna,1.6
Ford,Ford Fiesta 1.0 EcoBoost S&S TITANIUM,39999,PLN,Benzyna,125000,2022,Manualna,1.0
Ford,Ford Puma 1.0 EcoBoost TITANIUM,59999,PLN,Benzyna,44000,2024,Manualna,1.0
Alfa Romeo,Alfa Romeo Giulietta 2.0 JTDM 16V Turismo,19999,PLN,Diesel,199000,2011,Manualna,2.0
DS Automobiles,DS Automobiles DS 5,39999,PLN,Diesel,202000,2016,Manualna,NULL
Peugeot,Peugeot 208 PureTech 100 EAT8 GT,56999,PLN,Benzyna,55000,2021,Automatyczna,NULL
MINI,MINI Countryman Cooper S All4,29900,PLN,Benzyna,145000,2011,Manualna,NULL
Peugeot,Peugeot 508 BlueHDi 130 EAT8 Allure,57999,PLN,Diesel,150000,2020,Automatyczna,NULL
Ford,Ford Fiesta 1.1 COOL&CONNECT,31900,PLN,Benzyna,104798,2019,Manualna,1.1
Kia,"Kia Sportage 2,0 CRDI AWD Vision",40999,PLN,Diesel,173000,2015,Manualna,NULL
BMW,BMW Seria 5 520d xDrive,239777,PLN,Diesel,29000,2025,Automatyczna,NULL
Ford,Ford Fiesta 1.25 Trend,21000,PLN,Benzyna,176000,2015,Manualna,1.2
Lexus,Lexus NX 200t,78700,PLN,Benzyna,183017,2015,Automatyczna,NULL
Opel,Opel Mokka X,48000,PLN,Benzyna,85165,2016,Manualna,NULL
Renault,Renault Clio TCe 90 TECHNO,52500,PLN,Benzyna,42700,2022,Manualna,NULL
Skoda,Skoda Fabia 1.0 TSI Cool Plus,26900,PLN,Benzyna,142350,2017,Manualna,1.0
Opel,Opel Mokka 1.4 T Cosmo EU6,38900,PLN,Benzyna+LPG,127000,2016,Manualna,1.4
Ford,Ford C-MAX 1.8 Trend,12900,PLN,Benzyna,229222,2010,Manualna,1.8
Opel,Opel Astra 1.4 T Enjoy,33500,PLN,Benzyna,129232,2016,Manualna,1.4
Hyundai,Hyundai ix35 2.0 CRDi 4WD Premium,32900,PLN,Diesel,176300,2012,Manualna,2.0
Toyota,Toyota Corolla 2.0 Hybrid Comfort,89900,PLN,Hybryda,85000,2021,Automatyczna,2.0
Opel,Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Edition,47900,PLN,Benzyna,121000,2017,Manualna,1.4
